ER72001,ER72002,ER72017,ER72018,ER72195,ER72217,ER72231,ER73069,ER76897,ER76962,ER77249,ER77255,ER77588,ER77591,ER77599
1,7520,49,2,3600,17.35,1,30000,4,27,29,1272,55176,4,16
1,5804,85,2,0,0,0,0,1,50,0,0,24316,2,12
1,9193,59,1,7210,32,38,70000,1,5,37,1480,44540,2,12
1,5965,57,2,0,0,0,0,1,99,0,0,7800,2,5
1,7694,56,2,9810,0,0,110000,1,6,29,1168,154906,2,17
1,6801,37,2,0,0,0,0,1,4,0,0,10668.18,2,8
1,8299,36,1,1020,0,1,78000,1,2,50,2000,48044,2,17
1,9515,33,1,7700,22.98,7,60000,1,7,51,2448,44910,2,10
1,9043,33,1,2330,0,8,55000,1,1,51,2056,51244.41,2,17
1,8277,49,1,1020,0,9,100000,1,17,52,2080,73804,1,12
1,6018,41,1,9130,0,0,46000,1,6,49,2450,48336,2,12
1,7823,56,1,7900,24.8,8,63000,1,32,51,2286,44501.55,2,13
1,9037,40,1,0,0,0,0,1,20,0,0,28980,2,11
1,7712,19,2,4720,0,0,10499,1,0,27,1074,21072.53,2,12
1,8269,43,2,0,0,0,0,1,1,0,0,12575,2,9
1,5209,38,1,700,0,17,152000,1,4,49,2569,96441,2,16
1,4624,34,2,3600,11.7,7,14100,1,7,50,1400,20332,2,13
1,7036,64,1,0,0,0,0,1,17,0,0,50976.2,3,9
1,8092,39,2,910,0,20,39000,1,13,51,2040,54392.26,2,12
1,4543,48,1,0,0,0,0,2,99,0,0,36920,2,12
1,8533,51,1,840,27.09,24,59000,1,23,46,1824,49980.2,3,16
1,7321,39,1,9600,19.13,1,54000,1,14,51,2448,60607.73,2,11
1,8013,61,1,4220,12.5,2,22500,1,99,50,2030,50520,2,10
1,2189,25,2,800,0,0,0,1,2,46,1840,35680,3,12
1,1941,23,2,3420,13,2,37180,1,1,52,2860,39815.2,3,12
1,2342,63,1,9130,16,26,36000,1,4,50,2500,62760.53,3,8
1,2232,64,1,0,0,0,0,1,23,0,0,23085.37,3,8
